NAICS_Code,NAICS_Title
441110,New Car Dealers
445110,Supermarkets and Other Grocery (except Convenience) Stores
321999,All Other Miscellaneous Wood Product Manufacturing
624410,Child Day Care Services
423130,Tire and Tube Merchant Wholesalers
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
339112,Surgical and Medical Instrument Manufacturing
236220,Commercial and Institutional Building Construction
238210,Electrical Contractors and Other Wiring Installation Contractors
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
561730,Landscaping Services
238220,Plumbing, Heating, and Air-Conditioning Contractors
621111,Offices of Physicians (except Mental Health Specialists)
621112,Offices of Physicians, Mental Health Specialists
722511,Full-Service Restaurants
532420,Office Machinery and Equipment Rental and Leasing
541330,Engineering Services
561110,Office Administrative Services
621610,Home Health Care Services
517312,Wireless Telecommunications Carriers (except Satellite)
624120,Services for the Elderly and Persons with Disabilities
541512,Computer Systems Design Services
492210,Local Messengers and Local Delivery
621210,Offices of Dentists
445310,Beer, Wine, and Liquor Stores
488999,All Other Support Activities for Transportation
541519,Other Computer Related Services
541511,Custom Computer Programming Services
611310,Colleges, Universities, and Professional Schools
531390,Other Activities Related to Real Estate
812320,Drycleaning and Laundry Services (except Coin-Operated)
442110,Furniture Stores
212321,Construction Sand and Gravel Mining
721110,Hotels (except Casino Hotels) and Motels
334519,Other Measuring and Controlling Device Manufacturing
611699,All Other Miscellaneous Schools and Instruction
517919,All Other Telecommunications
532283,Home Health Equipment Rental
561990,All Other Support Services
562910,Remediation Services
484220,Specialized Freight (except Used Goods) Trucking, Local
339999,All Other Miscellaneous Manufacturing
541990,All Other Professional, Scientific, and Technical Services
518210,Data Processing, Hosting, and Related Services
621910,Ambulance Services
238990,All Other Specialty Trade Contractors
541370,Surveying and Mapping (except Geophysical) Services
811490,Other Personal and Household Goods Repair and Maintenance
541810,Advertising Agencies
523999,Miscellaneous Financial Investment Activities
561320,Temporary Help Services
541110,Offices of Lawyers
541614,Process, Physical Distribution, and Logistics Consulting Services
441310,Automotive Parts and Accessories Stores
813410,Civic and Social Organizations
424930,Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers
339950,Sign Manufacturing
511210,Software Publishers
722513,Limited-Service Restaurants
621491,HMO Medical Centers
711410,Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures
423450,Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers
236118,Residential Remodelers
541219,Other Accounting Services
561311,Employment Placement Agencies
711320,Promoters of Performing Arts, Sports, and Similar Events without Facilities
531210,Offices of Real Estate Agents and Brokers
811121,Automotive Body, Paint, and Interior Repair and Maintenance
541214,Payroll Services
424120,Stationery and Office Supplies Merchant Wholesalers
238290,Other Building Equipment Contractors
541690,Other Scientific and Technical Consulting Services
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
561720,Janitorial Services
425110,Business to Business Electronic Markets
541320,Landscape Architectural Services
522390,Other Activities Related to Credit Intermediation
561790,Other Services to Buildings and Dwellings
237110,Water and Sewer Line and Related Structures Construction
488510,Freight Transportation Arrangement
448150,Clothing Accessories Stores
621999,All Other Miscellaneous Ambulatory Health Care Services
488190,Other Support Activities for Air Transportation
621320,Offices of Optometrists
238910,Site Preparation Contractors
492110,Couriers and Express Delivery Services
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
624230,Emergency and Other Relief Services
332996,Fabricated Pipe and Pipe Fitting Manufacturing
333249,Other Industrial Machinery Manufacturing
523910,Miscellaneous Intermediation
337110,Wood Kitchen Cabinet and Countertop Manufacturing
448120,Women's Clothing Stores
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
721199,All Other Traveler Accommodation
531190,Lessors of Other Real Estate Property
713940,Fitness and Recreational Sports Centers
541820,Public Relations Agencies
238160,Roofing Contractors
511199,All Other Publishers
722410,Drinking Places (Alcoholic Beverages)
115310,Support Activities for Forestry
512110,Motion Picture and Video Production
811198,All Other Automotive Repair and Maintenance
561612,Security Guards and Patrol Services
611710,Educational Support Services
611110,Elementary and Secondary Schools
541611,Administrative Management and General Management Consulting Services
531110,Lessors of Residential Buildings and Dwellings
812112,Beauty Salons
238120,Structural Steel and Precast Concrete Contractors
339920,Sporting and Athletic Goods Manufacturing
623110,Nursing Care Facilities (Skilled Nursing Facilities)
813319,Other Social Advocacy Organizations
813312,Environment, Conservation and Wildlife Organizations
311422,Specialty Canning
445299,All Other Specialty Food Stores
722515,Snack and Nonalcoholic Beverage Bars
447110,Gasoline Stations with Convenience Stores
813990,Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)
541613,Marketing Consulting Services
236115,New Single-Family Housing Construction (except For-Sale Builders)
484110,General Freight Trucking, Local
423510,Metal Service Centers and Other Metal Merchant Wholesalers
711110,Theater Companies and Dinner Theaters
213112,Support Activities for Oil and Gas Operations
812990,All Other Personal Services
484121,General Freight Trucking, Long-Distance, Truckload
623312,Assisted Living Facilities for the Elderly
812113,Nail Salons
811192,Car Washes
311811,Retail Bakeries
541618,Other Management Consulting Services
334614,Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing
531312,Nonresidential Property Managers
713120,Amusement Arcades
541310,Architectural Services
442299,All Other Home Furnishings Stores
311520,Ice Cream and Frozen Dessert Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
333120,Construction Machinery Manufacturing
311991,Perishable Prepared Food Manufacturing
441120,Used Car Dealers
327910,Abrasive Product Manufacturing
541922,Commercial Photography
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
524210,Insurance Agencies and Brokerages
814110,Private Households
541620,Environmental Consulting Services
512240,Sound Recording Studios
713990,All Other Amusement and Recreation Industries
813910,Business Associations
332710,Machine Shops
236117,New Housing For-Sale Builders
331491,Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding
711190,Other Performing Arts Companies
423140,Motor Vehicle Parts (Used) Merchant Wholesalers
561920,Convention and Trade Show Organizers
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals
445120,Convenience Stores
531311,Residential Property Managers
721310,Rooming and Boarding Houses, Dormitories, and Workers' Camps
722514,Cafeterias, Grill Buffets, and Buffets
312120,Breweries
423610,Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers
237130,Power and Communication Line and Related Structures Construction
333314,Optical Instrument and Lens Manufacturing
423930,Recyclable Material Merchant Wholesalers
423840,Industrial Supplies Merchant Wholesalers
525120,Health and Welfare Funds
624110,Child and Youth Services
561330,Professional Employer Organizations
624310,Vocational Rehabilitation Services
812930,Parking Lots and Garages
621498,All Other Outpatient Care Centers
311920,Coffee and Tea Manufacturing
721191,Bed-and-Breakfast Inns
711510,Independent Artists, Writers, and Performers
446110,Pharmacies and Drug Stores
485320,Limousine Service
447190,Other Gasoline Stations
712110,Museums
111998,All Other Miscellaneous Crop Farming
551112,Offices of Other Holding Companies
424410,General Line Grocery Merchant Wholesalers
424310,Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers
314999,All Other Miscellaneous Textile Product Mills
923110,Administration of Education Programs
333992,Welding and Soldering Equipment Manufacturing
522298,All Other Nondepository Credit Intermediation
813110,Religious Organizations
722310,Food Service Contractors
443142,Electronics Stores
811111,General Automotive Repair
424330,Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers
523991,Trust, Fiduciary, and Custody Activities
561499,All Other Business Support Services
561622,Locksmiths
523120,Securities Brokerage
221114,Solar Electric Power Generation
445220,Fish and Seafood Markets
511110,Newspaper Publishers
621410,Family Planning Centers
112120,Dairy Cattle and Milk Production
713910,Golf Courses and Country Clubs
322211,Corrugated and Solid Fiber Box Manufacturing
541840,Media Representatives
488410,Motor Vehicle Towing
336211,Motor Vehicle Body Manufacturing
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
812310,Coin-Operated Laundries and Drycleaners
541191,Title Abstract and Settlement Offices
722320,Caterers
541490,Other Specialized Design Services
327320,Ready-Mix Concrete Manufacturing
441210,Recreational Vehicle Dealers
311812,Commercial Bakeries
623311,Continuing Care Retirement Communities
713210,Casinos (except Casino Hotels)
445291,Baked Goods Stores
813930,Labor Unions and Similar Labor Organizations
453220,Gift, Novelty, and Souvenir Stores
444110,Home Centers
522220,Sales Financing
711310,Promoters of Performing Arts, Sports, and Similar Events with Facilities
624190,Other Individual and Family Services
523110,Investment Banking and Securities Dealing
424490,Other Grocery and Related Products Merchant Wholesalers
531130,Lessors of Miniwarehouses and Self-Storage Units
541940,Veterinary Services
524114,Direct Health and Medical Insurance Carriers
311911,Roasted Nuts and Peanut Butter Manufacturing
624221,Temporary Shelters
532284,Recreational Goods Rental
445210,Meat Markets
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
524298,All Other Insurance Related Activities
423440,Other Commercial Equipment Merchant Wholesalers
441320,Tire Dealers
425120,Wholesale Trade Agents and Brokers
211130,Natural Gas Extraction
423220,Home Furnishing Merchant Wholesalers
926110,Administration of General Economic Programs
512199,Other Motion Picture and Video Industries
316992,Women's Handbag and Purse Manufacturing
493110,General Warehousing and Storage
311999,All Other Miscellaneous Food Manufacturing
238330,Flooring Contractors
444220,Nursery, Garden Center, and Farm Supply Stores
238390,Other Building Finishing Contractors
484210,Used Household and Office Goods Moving
321920,Wood Container and Pallet Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing
236210,Industrial Building Construction
519190,All Other Information Services
325414,Biological Product (except Diagnostic) Manufacturing
621420,Outpatient Mental Health and Substance Abuse Centers
334111,Electronic Computer Manufacturing
334310,Audio and Video Equipment Manufacturing
522292,Real Estate Credit
488490,Other Support Activities for Road Transportation
446199,All Other Health and Personal Care Stores
423940,Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers
522291,Consumer Lending
522310,Mortgage and Nonmortgage Loan Brokers
238110,Poured Concrete Foundation and Structure Contractors
238350,Finish Carpentry Contractors
561710,Exterminating and Pest Control Services
238150,Glass and Glazing Contractors
621340,Offices of Physical, Occupational and Speech Therapists, and Audiologists
541213,Tax Preparation Services
812332,Industrial Launderers
562920,Materials Recovery Facilities
561621,Security Systems Services (except Locksmiths)
922160,Fire Protection
238310,Drywall and Insulation Contractors
522320,Financial Transactions Processing, Reserve, and Clearinghouse Activities
311421,Fruit and Vegetable Canning
713930,Marinas
561312,Executive Search Services
446191,Food (Health) Supplement Stores
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
424480,Fresh Fruit and Vegetable Merchant Wholesalers
562998,All Other Miscellaneous Waste Management Services
221330,Steam and Air-Conditioning Supply
621399,Offices of All Other Miscellaneous Health Practitioners
238320,Painting and Wall Covering Contractors
453210,Office Supplies and Stationery Stores
517311,Wired Telecommunications Carriers
541430,Graphic Design Services
561431,Private Mail Centers
424460,Fish and Seafood Merchant Wholesalers
315210,Cut and Sew Apparel Contractors
484122,General Freight Trucking, Long-Distance, Less Than Truckload
315990,Apparel Accessories and Other Apparel Manufacturing
237120,Oil and Gas Pipeline and Related Structures Construction
541410,Interior Design Services
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
423830,Industrial Machinery and Equipment Merchant Wholesalers
713290,Other Gambling Industries
812111,Barber Shops
811122,Automotive Glass Replacement Shops
451110,Sporting Goods Stores
532412,Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing
721214,Recreational and Vacation Camps (except Campgrounds)
115210,Support Activities for Animal Production
446130,Optical Goods Stores
541350,Building Inspection Services
922110,Courts
325611,Soap and Other Detergent Manufacturing
238140,Masonry Contractors
424470,Meat and Meat Product Merchant Wholesalers
611620,Sports and Recreation Instruction
332420,Metal Tank (Heavy Gauge) Manufacturing
511120,Periodical Publishers
448140,Family Clothing Stores
237210,Land Subdivision
441222,Boat Dealers
423620,Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers
561520,Tour Operators
519130,Internet Publishing and Broadcasting and Web Search Portals
311615,Poultry Processing
112990,All Other Animal Production
713950,Bowling Centers
481112,Scheduled Freight Air Transportation
331110,Iron and Steel Mills and Ferroalloy Manufacturing
623220,Residential Mental Health and Substance Abuse Facilities
813219,Other Grantmaking and Giving Services
332322,Sheet Metal Work Manufacturing
311412,Frozen Specialty Food Manufacturing
813920,Professional Organizations
561491,Repossession Services
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
423110,Automobile and Other Motor Vehicle Merchant Wholesalers
621493,Freestanding Ambulatory Surgical and Emergency Centers
452319,All Other General Merchandise Stores
611210,Junior Colleges
493130,Farm Product Warehousing and Storage
712190,Nature Parks and Other Similar Institutions
326199,All Other Plastics Product Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
423710,Hardware Merchant Wholesalers
621310,Offices of Chiropractors
711211,Sports Teams and Clubs
337121,Upholstered Household Furniture Manufacturing
424420,Packaged Frozen Food Merchant Wholesalers
325620,Toilet Preparation Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
512290,Other Sound Recording Industries
531320,Offices of Real Estate Appraisers
721120,Casino Hotels
561210,Facilities Support Services
562991,Septic Tank and Related Services
423690,Other Electronic Parts and Equipment Merchant Wholesalers
452210,Department Stores
812199,Other Personal Care Services
423990,Other Miscellaneous Durable Goods Merchant Wholesalers
611691,Exam Preparation and Tutoring
451211,Book Stores
453920,Art Dealers
448310,Jewelry Stores
312140,Distilleries
337211,Wood Office Furniture Manufacturing
523930,Investment Advice
453310,Used Merchandise Stores
312130,Wineries
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
481211,Nonscheduled Chartered Passenger Air Transportation
423310,Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers
485999,All Other Transit and Ground Passenger Transportation
332312,Fabricated Structural Metal Manufacturing
237310,Highway, Street, and Bridge Construction
237990,Other Heavy and Civil Engineering Construction
525910,Open-End Investment Funds
624210,Community Food Services
562119,Other Waste Collection
336390,Other Motor Vehicle Parts Manufacturing
112910,Apiculture
524291,Claims Adjusting
424920,Book, Periodical, and Newspaper Merchant Wholesalers
488991,Packing and Crating
336999,All Other Transportation Equipment Manufacturing
611430,Professional and Management Development Training
541715,Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)
454110,Electronic Shopping and Mail-Order Houses
812910,Pet Care (except Veterinary) Services
444190,Other Building Material Dealers
213111,Drilling Oil and Gas Wells
335220,Major Household Appliance Manufacturing
611420,Computer Training
424690,Other Chemical and Allied Products Merchant Wholesalers
112111,Beef Cattle Ranching and Farming
541870,Advertising Material Distribution Services
236116,New Multifamily Housing Construction (except For-Sale Builders)
333515,Cutting Tool and Machine Tool Accessory Manufacturing
444120,Paint and Wallpaper Stores
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
444130,Hardware Stores
524113,Direct Life Insurance Carriers
541211,Offices of Certified Public Accountants
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
113310,Logging
621330,Offices of Mental Health Practitioners (except Physicians)
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
336991,Motorcycle, Bicycle, and Parts Manufacturing
327211,Flat Glass Manufacturing
334419,Other Electronic Component Manufacturing
323111,Commercial Printing (except Screen and Books)
333132,Oil and Gas Field Machinery and Equipment Manufacturing
111336,Fruit and Tree Nut Combination Farming
238130,Framing Contractors
322299,All Other Converted Paper Product Manufacturing
512120,Motion Picture and Video Distribution
541850,Outdoor Advertising
448110,Men's Clothing Stores
551114,Corporate, Subsidiary, and Regional Managing Offices
326299,All Other Rubber Product Manufacturing
115113,Crop Harvesting, Primarily by Machine
451140,Musical Instrument and Supplies Stores
493120,Refrigerated Warehousing and Storage
512191,Teleproduction and Other Postproduction Services
115112,Soil Preparation, Planting, and Cultivating
561510,Travel Agencies
484230,Specialized Freight (except Used Goods) Trucking, Long-Distance
311821,Cookie and Cracker Manufacturing
312112,Bottled Water Manufacturing
312230,Tobacco Manufacturing
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
443141,Household Appliance Stores
335312,Motor and Generator Manufacturing
454390,Other Direct Selling Establishments
323113,Commercial Screen Printing
326212,Tire Retreading
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
523920,Portfolio Management
111211,Potato Farming
327310,Cement Manufacturing
327390,Other Concrete Product Manufacturing
212399,All Other Nonmetallic Mineral Mining
517911,Telecommunications Resellers
621511,Medical Laboratories
423420,Office Equipment Merchant Wholesalers
339114,Dental Equipment and Supplies Manufacturing
212312,Crushed and Broken Limestone Mining and Quarrying
424910,Farm Supplies Merchant Wholesalers
424210,Drugs and Druggists' Sundries Merchant Wholesalers
811219,Other Electronic and Precision Equipment Repair and Maintenance
337215,Showcase, Partition, Shelving, and Locker Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
481219,Other Nonscheduled Air Transportation
541380,Testing Laboratories
334416,Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing
333517,Machine Tool Manufacturing
334511,Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
336411,Aircraft Manufacturing
332721,Precision Turned Product Manufacturing
621512,Diagnostic Imaging Centers
325211,Plastics Material and Resin Manufacturing
311710,Seafood Product Preparation and Packaging
493190,Other Warehousing and Storage
515112,Radio Stations
111219,Other Vegetable (except Potato) and Melon Farming
111421,Nursery and Tree Production
113110,Timber Tract Operations
524126,Direct Property and Casualty Insurance Carriers
238340,Tile and Terrazzo Contractors
111335,Tree Nut Farming
337910,Mattress Manufacturing
336611,Ship Building and Repairing
332813,Electroplating, Plating, Polishing, Anodizing, and Coloring
485410,School and Employee Bus Transportation
623210,Residential Intellectual and Developmental Disability Facilities
541910,Marketing Research and Public Opinion Polling
541199,All Other Legal Services
486210,Pipeline Transportation of Natural Gas
339991,Gasket, Packing, and Sealing Device Manufacturing
335921,Fiber Optic Cable Manufacturing
812210,Funeral Homes and Funeral Services
813311,Human Rights Organizations
541714,Research and Development in Biotechnology (except Nanobiotechnology)
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
561599,All Other Travel Arrangement and Reservation Services
541890,Other Services Related to Advertising
115114,Postharvest Crop Activities (except Cotton Ginning)
485113,Bus and Other Motor Vehicle Transit Systems
321113,Sawmills
111339,Other Noncitrus Fruit Farming
221122,Electric Power Distribution
444210,Outdoor Power Equipment Stores
339910,Jewelry and Silverware Manufacturing
115115,Farm Labor Contractors and Crew Leaders
315240,Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing
332812,Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers
332216,Saw Blade and Handtool Manufacturing
332119,Metal Crown, Closure, and Other Metal Stamping (except Automotive)
212299,All Other Metal Ore Mining
333924,Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing
112210,Hog and Pig Farming
611610,Fine Arts Schools
481111,Scheduled Passenger Air Transportation
562219,Other Nonhazardous Waste Treatment and Disposal
811118,Other Automotive Mechanical and Electrical Repair and Maintenance
424810,Beer and Ale Merchant Wholesalers
483212,Inland Water Passenger Transportation
238190,Other Foundation, Structure, and Building Exterior Contractors
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
622110,General Medical and Surgical Hospitals
336111,Automobile Manufacturing
333244,Printing Machinery and Equipment Manufacturing
442210,Floor Covering Stores
323117,Books Printing
333111,Farm Machinery and Equipment Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
321992,Prefabricated Wood Building Manufacturing
211120,Crude Petroleum Extraction
112112,Cattle Feedlots
337125,Household Furniture (except Wood and Metal) Manufacturing
325412,Pharmaceutical Preparation Manufacturing
923130,Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
111920,Cotton Farming
541513,Computer Facilities Management Services
336212,Truck Trailer Manufacturing
327331,Concrete Block and Brick Manufacturing
314120,Curtain and Linen Mills
423850,Service Establishment Equipment and Supplies Merchant Wholesalers
561410,Document Preparation Services
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
423330,Roofing, Siding, and Insulation Material Merchant Wholesalers
623990,Other Residential Care Facilities
115111,Cotton Ginning
485510,Charter Bus Industry
424440,Poultry and Poultry Product Merchant Wholesalers
111940,Hay Farming
811213,Communication Equipment Repair and Maintenance
562111,Solid Waste Collection
335121,Residential Electric Lighting Fixture Manufacturing
541420,Industrial Design Services
335929,Other Communication and Energy Wire Manufacturing
441228,Motorcycle, ATV, and All Other Motor Vehicle Dealers
713110,Amusement and Theme Parks
541612,Human Resources Consulting Services
622210,Psychiatric and Substance Abuse Hospitals
111930,Sugarcane Farming
334613,Blank Magnetic and Optical Recording Media Manufacturing
446120,Cosmetics, Beauty Supplies, and Perfume Stores
114112,Shellfish Fishing
327991,Cut Stone and Stone Product Manufacturing
445230,Fruit and Vegetable Markets
326121,Unlaminated Plastics Profile Shape Manufacturing
424940,Tobacco and Tobacco Product Merchant Wholesalers
324121,Asphalt Paving Mixture and Block Manufacturing
454310,Fuel Dealers
611511,Cosmetology and Barber Schools
519110,News Syndicates
315280,Other Cut and Sew Apparel Manufacturing
335313,Switchgear and Switchboard Apparatus Manufacturing
525920,Trusts, Estates, and Agency Accounts
487110,Scenic and Sightseeing Transportation, Land
331513,Steel Foundries (except Investment)
522120,Savings Institutions
448190,Other Clothing Stores
424110,Printing and Writing Paper Merchant Wholesalers
111419,Other Food Crops Grown Under Cover
811411,Home and Garden Equipment Repair and Maintenance
512250,Record Production and Distribution
813212,Voluntary Health Organizations
111992,Peanut Farming
561910,Packaging and Labeling Services
424450,Confectionery Merchant Wholesalers
423390,Other Construction Material Merchant Wholesalers
325992,Photographic Film, Paper, Plate, and Chemical Manufacturing
